,ID,Stock,Date,User_Name,User_ID,User_Followers,User_Verified,User_Lists,Likes,Retweets,Replies,URL,Text
549,1349138865672642560,TSLA,2021-01-12 23:39:06+00:00,Tom,1007420368288714754,24174,0,429,93,7,13,https://twitter.com/TradingThomas3/status/1349138865672642560,"Hey @CathieDWood, i think its time to rotate from $TSLA to  the new EV King $GM."
550,1349132285728051200,TSLA,2021-01-12 23:12:57+00:00,EllioTrades,948736680554409984,504852,1,3775,280,41,28,https://twitter.com/elliotrades/status/1349132285728051200,$INJ introduces the world's first decentralized $TSLA Stock futures trading LFG https://t.co/VVmOjCm7br
551,1349130252992212992,TSLA,2021-01-12 23:04:52+00:00,BertelSchmitt™ 2x jabbed 🎩🎩🎩🎩🎩,134503182,4857,1,181,70,8,9,https://twitter.com/BertelSchmitt/status/1349130252992212992,"German media: Plans to start production at $tsla Grünheide in July ""increasingly unrealistic."" https://t.co/WCLcjJ8CT5"
552,1349125523323150336,TSLA,2021-01-12 22:46:04+00:00,jeremy day,16659534,7149,0,228,211,26,18,https://twitter.com/jeremymday/status/1349125523323150336,"Quick look at my top 12 holdings

1. $ROKU 
2. $SE
3. $SHOP
4. $SQ
5. $TSLA 
6. $EOSE
7. $MWK
8. $NET
9. $TTD
10. $SEDG
11. $PLUG
12. $ETSY

Want to keep adding $ETSY $GRWG $TTD $MWK $FTCH"
553,1349124936691036164,TSLA,2021-01-12 22:43:45+00:00,Christopher Dungeon,1651403384,6600,0,80,153,10,25,https://twitter.com/ChrisDungeon/status/1349124936691036164,"$TSLA short interest up from 45.2M shares to 60.6M as of Dec 31 settlement

+15M shares shorted 😳

Source: https://t.co/WsXRJ1lkKZ https://t.co/sJPwKgkKa0"
554,1349115566641082368,TSLA,2021-01-12 22:06:31+00:00,Sawyer Merritt 📈🚀,243013409,102256,0,624,365,4,22,https://twitter.com/SawyerMerritt/status/1349115566641082368,Just bought more $TSLA at $848.75 after-hours.
555,1349112272891879431,TSLA,2021-01-12 21:53:25+00:00,Sawyer Merritt 📈🚀,243013409,102256,0,624,1132,25,71,https://twitter.com/SawyerMerritt/status/1349112272891879431,Just bought more $TSLA at $849.90 after-hours.
556,1349107798634860546,TSLA,2021-01-12 21:35:39+00:00,Eva CyberFox 🦊🚽,959471389282578432,28151,0,172,280,34,7,https://twitter.com/EvaFoxU/status/1349107798634860546,"Tesla $TSLA to Become a $2 Trillion Company within 2 Years, Says Wedbush Analyst Dan Ives

#Tesla 
https://t.co/51wgK248Qb"
557,1349107357679185920,TSLA,2021-01-12 21:33:53+00:00,Tesmanian.com,1100520274200416256,97977,0,444,553,58,5,https://twitter.com/Tesmanian_com/status/1349107357679185920,"Tesla $TSLA to Become a $2 Trillion Company within 2 Years, Says Wedbush Analayst Dan Ives

https://t.co/YG06lgGBna"
558,1349107329946460161,TSLA,2021-01-12 21:33:47+00:00,Vincent Yu,1689516060,144969,0,811,845,100,24,https://twitter.com/vincent13031925/status/1349107329946460161,"Tesla $TSLA to Become a $2 Trillion Company within 2 Years, Says Wedbush Analayst Dan Ives

https://t.co/eBXaB2H7Ui"
559,1349099965562445826,TSLA,2021-01-12 21:04:31+00:00,Big Tesla and SpaceX,916681351247613954,13603,0,109,82,4,9,https://twitter.com/hikingskiing/status/1349099965562445826,I’m super supportive of another $10B capital raise now for $TSLA.  I’m surprised that the stock didn’t close above $860 today
560,1349095572251303937,TSLA,2021-01-12 20:47:04+00:00,Gary Black,1161703589942878208,98793,0,1157,204,20,12,https://twitter.com/garyblack00/status/1349095572251303937,"2/  At $856, $TSLA trades at 82x 2022 EPS of $10.40 vs 2021-25 Vol and EPS growth of 55% and 57%, respectively (1.5x PEG vs R1000G at 1.8x PEG).  On 2025 EPS of $29 at a modest 50x P/E, TSLA 2025 value is $1,450, worth $1,000 today at a 9.7% disct rate.  My 6-12 mo PT is $1,000. https://t.co/2NjsniZ9K9"
561,1349095568254119936,TSLA,2021-01-12 20:47:03+00:00,Gary Black,1161703589942878208,98793,0,1157,308,23,15,https://twitter.com/garyblack00/status/1349095568254119936,"No growth PM would value $TSLA on trailing or current yr P/E.  It doesn’t make sense economically given the huge growth runway with EV adoption at just 3% today going to 24% by 2025, and TSLA TAM soaring as Y goes global and CyTruck launches in 2021.  India is a new TAM catalyst."
562,1349094919059558402,TSLA,2021-01-12 20:44:28+00:00,Ross Gerber,349249475,189813,1,2178,907,14,31,https://twitter.com/GerberKawasaki/status/1349094919059558402,Happy Birthday to my favorite tesla bull @Gfilche ! $tsla https://t.co/SvEKYoqmV0
563,1349094512048615431,TSLA,2021-01-12 20:42:51+00:00,fly4dat,1049788797506990090,5148,0,121,88,5,5,https://twitter.com/fly4dat/status/1349094512048615431,"Instead of playing around, the FED should give everyone a share of #Tesla instead of the stimulus check directly. That would also solve the problem of going from $600 to $2,000.

$TSLA $TSLAQ"
564,1349088117991612420,TSLA,2021-01-12 20:17:26+00:00,Sven Henrich,714051110,319014,1,5706,491,44,48,https://twitter.com/NorthmanTrader/status/1349088117991612420,$TSLA is horrifically underperforming $PLUG which is a total steal trading at only 100 x revenue https://t.co/hRHOOER182
565,1349082538413756417,TSLA,2021-01-12 19:55:16+00:00,Jason DeBolt ⚡️,298274977,47687,0,275,314,19,20,https://twitter.com/jasondebolt/status/1349082538413756417,"Margin maintenance percentages are an illusion.

As soon as shit gets real with $TSLA, maintenance can double overnight, at the worst possible time. Do not borrow more than 10% against your marginable securities unless you know exactly what you are doing. Not financial advice."
566,1349077105473150976,TSLA,2021-01-12 19:33:41+00:00,stevenmarkryan,31263848,72201,0,483,815,20,38,https://twitter.com/stevenmarkryan/status/1349077105473150976,"Congrats on 100k subs @heydave7 — well deserved! 🥳

You guys should all subscribe. Dave is the best. I mean that literally.

$TSLA"
567,1349074644876328963,TSLA,2021-01-12 19:23:54+00:00,fly4dat,1049788797506990090,5148,0,121,62,6,14,https://twitter.com/fly4dat/status/1349074644876328963,"BEV growth rates in 2020 YoY
#Tesla 36.2%
VW 197%

20Q4 BEV sales
$TSLA 180k
VW ~101.5k (in Europe and the US)

$TSLAQ https://t.co/8GIdhpxZl0"
568,1349074504232837121,TSLA,2021-01-12 19:23:21+00:00,Machine Planet,1005530743,7347,0,128,150,28,18,https://twitter.com/Paul91701736/status/1349074504232837121,"13 months later, there is still no solar roof on either of the ""Solar Testing Structures"" at Fremont. $tslaQ $TSLA #ThereIsNoSolarRoof

https://t.co/QQrbUt3hpD https://t.co/QkoRjyDFhs"
569,1349066961523761157,TSLA,2021-01-12 18:53:22+00:00,K A L E O,906234475604037637,444991,0,5658,435,45,34,https://twitter.com/CryptoKaleo/status/1349066961523761157,"""Kaleo, what's the next $TSLA?""

Let me introduce you to $NVDA.

Calls may SEEM pricy, but they're relatively cheap atm because this beast has been ranging the past 6 months. Scoop up anything for June or later and be patient. https://t.co/c9qubCxfAi"
570,1349062001264271362,TSLA,2021-01-12 18:33:40+00:00,PlainSite,398437761,16458,0,256,71,5,9,https://twitter.com/PlainSite/status/1349062001264271362,"In the short term, if the $TSLA SUA investigation was terminated due to any kind of bias on the part of the investigator, that investigation should be re-examined by someone without those biases, and the @DOTInspectorGen should get involved."
571,1349061509603872770,TSLA,2021-01-12 18:31:42+00:00,Gene Munster,1148243369786822658,25131,0,378,147,14,15,https://twitter.com/munster_gene/status/1349061509603872770,"Transformation takes longer than most expect, and ultimately has an impact greater than anyone could have imagined. Translating that to $TSLA shares means near-term risk and long-term opportunity.

https://t.co/bQXcBg95Vx"
572,1349060915858083840,TSLA,2021-01-12 18:29:21+00:00,AJ,394626603,19326,0,152,564,29,39,https://twitter.com/AlternateJones/status/1349060915858083840,I wouldn’t be surprised if the next Gigafactory is announced in India. $TSLA
573,1349059957354864642,TSLA,2021-01-12 18:25:32+00:00,Gary Black,1161703589942878208,98793,0,1157,163,6,13,https://twitter.com/garyblack00/status/1349059957354864642,Selling 15% OOM covered calls one week out after big run ups like last week has been a consistent money maker for anyone long $TSLA stock. https://t.co/1jdV1ksMIh
574,1349058354786816002,TSLA,2021-01-12 18:19:10+00:00,Surfeando el Merval,894227516935766017,37913,0,532,578,23,18,https://twitter.com/Merval_Surf/status/1349058354786816002,Tener a $MELI y $TSLA en cartera te arreglan todas los pifies que haces con las demás.
575,1349057917505433600,TSLA,2021-01-12 18:17:26+00:00,Dennis Coyle,60407575,17537,0,144,153,8,11,https://twitter.com/DCDOWORK/status/1349057917505433600,"I started Trading/Investing in 2011. In 2013 I was trading pennies. I turned $80,000 into $400,000 before giving a lot back. I was 26, I thought I was going to be a millionaire. I was wrong. In the past 4 years, I went from $400K to $1.3 Million Investing $AAPL $AMZN $TSLA $NIO"
576,1349055371340517376,TSLA,2021-01-12 18:07:19+00:00,AJ,394626603,19326,0,152,302,38,10,https://twitter.com/AlternateJones/status/1349055371340517376,"I don’t think enough people appreciate how critical energy independence is to a country’s national security infrastructure. 

Every country on earth should be begging Tesla to enter their market.

$TSLA"
577,1349054868103847937,TSLA,2021-01-12 18:05:19+00:00,thomas the divorced trader,1242932824467963911,20228,0,181,130,10,6,https://twitter.com/tumtonks/status/1349054868103847937,"**TESLA, $TSLA  TO DISABLE BRAKES FOR REPUBLICANS"
578,1349053787227394048,TSLA,2021-01-12 18:01:01+00:00,AJ,394626603,19326,0,152,305,19,10,https://twitter.com/AlternateJones/status/1349053787227394048,I expect some big Indian conglomerates to announce significant stakes in $TSLA soon.
579,1349052331367702531,TSLA,2021-01-12 17:55:14+00:00,📸 hellokehn,2557266060,1741,0,38,713,81,23,https://twitter.com/Bb1Kehn/status/1349052331367702531,Holding past 2030 for sure #tesla $tsla https://t.co/UndCUdK0PG
580,1349052196177006593,TSLA,2021-01-12 17:54:42+00:00,Gary Black,1161703589942878208,98793,0,1157,156,8,19,https://twitter.com/garyblack00/status/1349052196177006593,"FYI - I bought back my $TSLA 1010 calls exp Fri 1/15 that I sold last Friday @ $9.20 (which I rolled my $830 1/8 calls into) for $1.60, more than offsetting losses on my $800 and $830 covered calls I sold last week. I will open a new $960 cov call exp Fri (~30% annualzd return). https://t.co/w1Bd0mlLGD"
581,1349051341818138624,TSLA,2021-01-12 17:51:18+00:00,AJ,394626603,19326,0,152,822,46,48,https://twitter.com/AlternateJones/status/1349051341818138624,India will be the largest market for Tesla after China in 2030. $TSLA
582,1349043282152742914,TSLA,2021-01-12 17:19:17+00:00,Lauren Row,997698480058654720,3052,0,24,1051,104,30,https://twitter.com/LaurenRow5/status/1349043282152742914,"$TSLA

Formal education is useless anyways, son! 

Your university will be YouTube. https://t.co/v5iQvCZ6Hu"
583,1349041372989444096,TSLA,2021-01-12 17:11:41+00:00,Tesla New York,1374059611,9553,0,226,1882,171,26,https://twitter.com/TeslaNY/status/1349041372989444096,"“Tesla's newest vehicle, Model Y, has been awarded a five-star safety rating in all tests by the NHTSA.” ⭐️⭐️⭐️⭐️⭐️ https://t.co/Yux2ajZloB $TSLA #Tesla #EV #NHTSA https://t.co/RfdMGUUFuT"
584,1349038497513041929,TSLA,2021-01-12 17:00:16+00:00,Wolfgang Pipperger,2638809573,2093,0,66,45,5,7,https://twitter.com/WPipperger/status/1349038497513041929,"""In 2020, a flat year for the industry overall, and an up year for Tesla, the company’s market share is roughly 0.8%.""

$TSLA $TSLAQ
Here’s What Tesla’s Current Market Share Looks Like Globally, In the US, In China, and In Europe
https://t.co/eJoY33a3Om https://t.co/sx7flWPZVv"
585,1349038323566661638,TSLA,2021-01-12 16:59:34+00:00,David Flamm,1354932386,4872,0,60,1740,66,95,https://twitter.com/Real_Futurist/status/1349038323566661638,I started 2020 with $180k in the bank. I’m now approaching $3 Million in the bank. Holding strong. Not selling. Trying to Debolt. $TSLA
586,1349036976939409412,TSLA,2021-01-12 16:54:13+00:00,Katie Greifeld,3420659128,45083,1,540,131,8,15,https://twitter.com/kgreifeld/status/1349036976939409412,A Feb 19 $TSLA put with a $20 strike price is the most actively traded option today! https://t.co/6GjcMNXLx8
587,1349036944643252225,TSLA,2021-01-12 16:54:06+00:00,Pete Najarian,14292717,200779,1,2544,237,35,36,https://twitter.com/petenajarian/status/1349036944643252225,"Tomorrow I'll be alongside ""The Option Oracle"" AJ Monte for a rapid-fire stock analysis special! We'll be taking a look at $TSLA $TWTR $FB &amp; $AAPL, plus plenty of other names. Tweet @MarketRebels with #RapidFire and your stock requests.

Sign up here: https://t.co/7l7fe6GyV5 https://t.co/Az4H1w0t5U"
588,1349033955857723393,TSLA,2021-01-12 16:42:13+00:00,squawksquare,930773590227718144,30426,0,271,77,5,24,https://twitter.com/squawksquare/status/1349033955857723393,My reasoning for the $TSLA dip yesterday is that MM's are sitting on some type of news. Always happens when we see MM's forcedly try to take down $TSLA. Don't have any insight into what the news is but best guess is we'll know within a week. https://t.co/jd48XDPA9H
589,1349029200427184134,TSLA,2021-01-12 16:23:19+00:00,stevenmarkryan,31263848,72201,0,483,1516,75,52,https://twitter.com/stevenmarkryan/status/1349029200427184134,"$TSLA is unstoppable.

But you already knew that."
590,1349027339313680386,TSLA,2021-01-12 16:15:56+00:00,"Economic Man (""Muskago Delenda Est"")",712465259072778240,2548,0,55,52,10,40,https://twitter.com/EconomicManBlog/status/1349027339313680386,"The Teslemmings love to point out how ""legacy dinosaurs"" like VW had falling sales last year (minus 15%) and how Tesla's sales grew.

But they don't mention that VW's EV sales grew at 158%, more than 4X faster than Tesla's in 2020. 

$TSLA

https://t.co/DRYZyMsJkU"
591,1349027004256051201,TSLA,2021-01-12 16:14:36+00:00,Ramp Capital,2214652482,266007,0,3913,2300,97,61,https://twitter.com/RampCapitalLLC/status/1349027004256051201,"R.I.P. to yet another person I went to college with 😞

He’s not dead, he just won’t stop shorting $TSLA"
592,1349026456496713734,TSLA,2021-01-12 16:12:25+00:00,David Tayar,275295731,2760,0,62,74,13,9,https://twitter.com/davidtayar5/status/1349026456496713734,"* Tesla Has Registered With Registrar Of Companies in India

$TSLA"
593,1349026123477180421,TSLA,2021-01-12 16:11:06+00:00,Tesmanian.com,1100520274200416256,97977,0,444,757,110,13,https://twitter.com/Tesmanian_com/status/1349026123477180421,"Tesla $TSLA in Talks with 5 States of India 🇮🇳 to Launch Operations as World Expansion Accelerates

https://t.co/THUnAhp47a"
