ID,Date,Username,Likes,Retweets,Replies,URL,Text
1217451652271222792,2020-01-15 14:21:07+00:00,jimrockfordatSH,13,3,1,https://twitter.com/jimrockfordatSH/status/1217451652271222792,"$PBX.v $PBX $PWWBF is in partnership with #RouteOne - which is owned by the Big 4 OEM's - $GM , #Ford #FiatChrysler $FCA &amp; #Toyota $TYO ...This gets them in the dealerships &amp; their sales force...And of course, #Powerbands with huge lease lines, should be back leasing for $TSLA https://t.co/Yyvro8UTUk"
1217449809574891520,2020-01-15 14:13:48+00:00,BradMunchen,32,1,5,https://twitter.com/BradMunchen/status/1217449809574891520,"Prediction: The made-in-China Model 3 will have a factory price of $35,000 by year end, something that $TSLA refused to achieve in America. 

$TSLAQ"
1217448674009088001,2020-01-15 14:09:17+00:00,SmokeyShorts,54,3,3,https://twitter.com/SmokeyShorts/status/1217448674009088001,$TSLA 25 shares added around 529
1217447684581351428,2020-01-15 14:05:21+00:00,LSValue,24,2,8,https://twitter.com/LSValue/status/1217447684581351428,Now seems like a really good time to short $TSLA.
1217447520063885318,2020-01-15 14:04:42+00:00,tool_grinder,11,1,3,https://twitter.com/tool_grinder/status/1217447520063885318,"Hey @jimcramer, serious question:  How can $TSLA be an ultimate #ESG stock when they partner with the CCP, who per @SquawkCNBC guest @Jkylebass practices organ harvesting from concentration camp prisoners? https://t.co/aCC2vRb79I"
1217446727277518850,2020-01-15 14:01:33+00:00,DarvasTrading,43,4,5,https://twitter.com/DarvasTrading/status/1217446727277518850,"my “Volume Blowout Rule” parameters went crazy yesterday on $TSLA $BYND

It’s a rule about when you see HUGE volume after names have run hard, signals time to sell and take profits.

If all the bulls are in who’s left to buy??🤷🏻‍♂️🤷🏻‍♂️
#Supply&amp;Demand

Take some profits people!!"
1217444535854411776,2020-01-15 13:52:51+00:00,AntonioAulino,175,37,13,https://twitter.com/AntonioAulino/status/1217444535854411776,"I've been looking high and low for a chart that can be referenced with Jesse Livermore's Buy explanation. Well here it is Bethlehem steel 1914. Read the highlighted section and look at graph. Enjoy.

@MarketSmith @traderstewie @Jesse_Livermore @investmeisters $TSLA $AMZN $BYND https://t.co/nOb1djCRVM"
1217443601136922629,2020-01-15 13:49:08+00:00,davidtayar5,24,7,0,https://twitter.com/davidtayar5/status/1217443601136922629,"Tesla Skeptic Has Downgrader’s Remorse Balks | Bloomberg

“It’s a little shocking [...] that the major auto OEMs in the U.S. and Europe still don’t have a product to compete with Tesla.""

""Tesla’s competitive positioning is awesome.""

$TSLA https://t.co/KYBqZiLgCg"
1217443086185287681,2020-01-15 13:47:05+00:00,BarkMSmeagol,87,9,3,https://twitter.com/BarkMSmeagol/status/1217443086185287681,"How’s that block list working for you #DumDum’s? 
$TSLA
🥴🤡 $TSLAQ 🤡🥴
 https://t.co/sptGstWEwV"
1217440141666586624,2020-01-15 13:35:23+00:00,abledoc,14,1,2,https://twitter.com/abledoc/status/1217440141666586624,"The real reason @elonmusk has ditched the $LIDAR in Teslas is the power consumption of a LIDAR based system that's a deal breaker for EVs. $TSLA 
https://t.co/tOEurqeUiz"
1217439873365352450,2020-01-15 13:34:19+00:00,ValueAnalyst1,73,3,3,https://twitter.com/ValueAnalyst1/status/1217439873365352450,"Collapsing lithium prices may incrementally help 🇨🇳 MIC margins in 2020, but more importantly, this confirms that the supply of Lithium is more than enough to support Tesla's planned growth in the near term and can be ramped quickly when needed.

$TSLA #NotSellingAShareBefore5000 https://t.co/24e4hsevj0"
1217433033193795585,2020-01-15 13:07:08+00:00,TradeWithMrX,27,14,2,https://twitter.com/TradeWithMrX/status/1217433033193795585,"Took some time to write about one of my most valuable 'weapons.' The element of anticipation is not fully understood in speculation. I used it in my $ROKU $TSLA $BYND trades. Share if you like what you read. 

Here's the link:  https://t.co/rVuTCF39yp https://t.co/C2jj2fzACz"
1217431117529276417,2020-01-15 12:59:31+00:00,cfromhertz,52,16,6,https://twitter.com/cfromhertz/status/1217431117529276417,$TSLA *TESLA IN TALKS TO BUY COBALT FROM GLENCORE FOR CHINA CAR PLANT
1217430292107079680,2020-01-15 12:56:15+00:00,fly4dat,62,7,14,https://twitter.com/fly4dat/status/1217430292107079680,"Fun fact: @Audi sold more E-Tron's in Norway 🇳🇴 this year than #Tesla sold SuX (combined) in whole Q4.

$TSLAQ $TSLA"
1217430020144140291,2020-01-15 12:55:10+00:00,ValueAnalyst1,46,3,3,https://twitter.com/ValueAnalyst1/status/1217430020144140291,$TSLA #NotSellingAShareBefore5000 https://t.co/AajXyiSC0p https://t.co/SU70xhlQuM
1217421668555132930,2020-01-15 12:21:59+00:00,kurtwuckertjr,64,30,4,https://twitter.com/kurtwuckertjr/status/1217421668555132930,"My latest @RealCoinGeek article!

Bitcoin protocol CAN’T be set in stone for the same reason Sony Betamax will almost definitely beat VHS. 

Also, I literally talk about Ancient Greece and $TSLA 

🐥 Retweets make number go up!

https://t.co/Ka2TZmXcdB"
1217419988400820224,2020-01-15 12:15:18+00:00,TESLAcharts,119,16,14,https://twitter.com/TESLAcharts/status/1217419988400820224,"In honor of $TSLA being red in the pre-market this morning, we’ve released Episode #6 of TC’s Chartcast with special guest Grant Williams!

Find it on all major platforms or directly at https://t.co/x6i1pE8la0 

cc @georgia_orwell_ @PollsTesla @evacuationboy @ttmygh
$TSLAQ https://t.co/IXAEnN3P8x"
1217416746895912960,2020-01-15 12:02:25+00:00,BagholderQuotes,49,1,1,https://twitter.com/BagholderQuotes/status/1217416746895912960,"Easy, fella.   $TSLA(s) https://t.co/a7wp87IxCR"
1217408333860278272,2020-01-15 11:28:59+00:00,jurabilis,15,1,2,https://twitter.com/jurabilis/status/1217408333860278272,"Happy to see that German magazine @focusonline amplifies my friendly remarks relating to #Gigafactory4. Now I know where the $TSLA bulls found my tweet ...

$TSLAQ  https://t.co/Pecu3gfXWv"
1217408241778544641,2020-01-15 11:28:37+00:00,flcnhvy,105,5,7,https://twitter.com/flcnhvy/status/1217408241778544641,Has someone checked on Adam Jonas yet? $TSLA https://t.co/OAkjQ7z1L6
1217408197230833664,2020-01-15 11:28:27+00:00,Hein_The_Slayer,34,9,6,https://twitter.com/Hein_The_Slayer/status/1217408197230833664,"Wall Street is becoming bullish on $TSLA, and all the smart money want a slice of the cake...

https://t.co/RtMtIQQJwU"
1217405389190451201,2020-01-15 11:17:17+00:00,Hein_The_Slayer,14,5,1,https://twitter.com/Hein_The_Slayer/status/1217405389190451201,"""Tesla is the ultimate Larry Fink stock"" Mad Money's Jim Cramer on the CEO of Blackrock.

Blackrock, the world's largest asset manager &amp; fossil fuel investor, wants to go GREEN, and $TSLA might be the beneficiary...🧐🤔
 https://t.co/sCB5vmjHLY"
1217400546010763264,2020-01-15 10:58:03+00:00,RandyVegetables,14,1,2,https://twitter.com/RandyVegetables/status/1217400546010763264,"Imagine the approx $60B of $TSLA float being cashed out by existing institutions and private investors. What kind of downward pressure would that create?

Now imagine all those cashing out used the money to buy Tesla products. What kind of upward pressure would that create?"
1217381476402188291,2020-01-15 09:42:16+00:00,heygodson,12,5,5,https://twitter.com/heygodson/status/1217381476402188291,"The rate at which $TSLA stock is growing is scary 📈.

Might transfer 50% of my crypto."
1217380902503927808,2020-01-15 09:39:59+00:00,agusnox,19,2,6,https://twitter.com/agusnox/status/1217380902503927808,"35%? 40% Vehicle margins

These people are insane.

$tsla

https://t.co/slDYp4CAm8"
1217377421495762945,2020-01-15 09:26:09+00:00,28delayslater,39,5,3,https://twitter.com/28delayslater/status/1217377421495762945,$TSLA https://t.co/qcPZXEgVay
1217374041515757568,2020-01-15 09:12:43+00:00,1stPrincipleInv,25,5,2,https://twitter.com/1stPrincipleInv/status/1217374041515757568,"The hashtag #NotSellingAShareBefore5000 is working 

$TSLA investors (esp those on Twitter) understand the giga-potential of Tesla over the very long term. Very few investors are budging at this price point

They know it's unwise to sell before Model Y, FSD and S&amp;P inclusion"
1217370573061402624,2020-01-15 08:58:56+00:00,28delayslater,230,22,19,https://twitter.com/28delayslater/status/1217370573061402624,"Bad news everyone. With $TSLA well over $500, we are no longer needed.  Pick up your last paycheck at the front desk and thanks so much for the endless paid #Tesla cheerleading. https://t.co/Wz46qgp8AP"
1217367251587928066,2020-01-15 08:45:45+00:00,28delayslater,138,15,6,https://twitter.com/28delayslater/status/1217367251587928066,$TSLA is up $119/share since the US EV tax credit ended. I was told by $TSLAQ for years that #Tesla was doomed without the credit. Starting to suspect they have no idea what they are talking about https://t.co/q10OeRTmRx
1217363242198224896,2020-01-15 08:29:49+00:00,rmattila74,44,1,5,https://twitter.com/rmattila74/status/1217363242198224896,"If Tesla delivers UDDS range of 442 miles for the Performance Model Y as opposed to 280 miles promised on the order page, other automakers should sue $TSLA for damages caused by this fraud!"
1217359833894047744,2020-01-15 08:16:16+00:00,BradMunchen,108,19,12,https://twitter.com/BradMunchen/status/1217359833894047744,"""Tesla is Apparently Naming Warranty Service as Goodwill Repairs: Why?"" 

This is from pro-Tesla InsideEVs. Why would InsideEVs post picture proof of $TSLA's accounting fraud &amp; breaches of lemon laws? 

H/T: @Lazcheven 
cc: @montana_skeptic @orthereaboot 

https://t.co/N8H7H9nijE"
1217352163443085312,2020-01-15 07:45:47+00:00,vincent13031925,1273,161,31,https://twitter.com/vincent13031925/status/1217352163443085312,"Made in China 🇨🇳 Tesla Model 3s are dominating the Chinese DMV again 

$TSLA #Tesla #China https://t.co/Vr3rsZFPbA"
1217346900224954368,2020-01-15 07:24:52+00:00,GregHruza,85,2,3,https://twitter.com/GregHruza/status/1217346900224954368,"Thank you @Tesla and @elonmusk!

By betting big on $TSLA call options the past several months, I was able to:
- pay off all my debt
- pay the down payment and closing cost for a new house
- and still have more invested in my brokerage account than I had at the start of 2019"
1217333629233324032,2020-01-15 06:32:08+00:00,28delayslater,40,6,3,https://twitter.com/28delayslater/status/1217333629233324032,$TSLA update: https://t.co/PzkYoBOmQ4
1217329968444846081,2020-01-15 06:17:36+00:00,montana_skeptic,116,9,11,https://twitter.com/montana_skeptic/status/1217329968444846081,New found respect for the $tsla shills at @ElectrekCo. Know when to hold 'em &amp; know when to fold 'em. https://t.co/9b7V6fF9CP
1217322134768320513,2020-01-15 05:46:28+00:00,vardeinvestera,19,5,1,https://twitter.com/vardeinvestera/status/1217322134768320513,"@Gameofstocksnu Avsnitt 31 - GW, weed och potatisdryck

I veckan avsnitt pratar vi $AWRD, $TSLA, $PYPL, Wirecard, ODI pharma, Veg of Lund och $MNTC.

Tack till den fantastiska tjänsten @Borsdata 

Finns där poddar finns!
https://t.co/S7J60s7hJs"
1217311210309242881,2020-01-15 05:03:03+00:00,BarkMSmeagol,46,7,5,https://twitter.com/BarkMSmeagol/status/1217311210309242881,"#ExplainBABYCharts #FraudWatch day 349

@fcw1964 @TMackAnthony @Matthew38756667 sure kept #BABYcharts busy today... or should I say, PaulieDumDum busy 😂 

How dare Tesla leave non visible surfaces unpainted. Who do they think they are, Porsche?! 🤣😂🤣😂

$TSLA
🥴🤡 $TSLAQ 🤡🥴 https://t.co/EXztsM64Q6"
1217303011594264578,2020-01-15 04:30:29+00:00,28delayslater,74,11,4,https://twitter.com/28delayslater/status/1217303011594264578,"“In a filing, Musk signaled his intent to buy about $10 million of the electric auto maker's stock in the new offering. The total equity offering is for 2.7 million shares of Tesla. Musk's purchase would be 41,896 shares.” 

Update: Elon’s stocks are now worth 22.5 mil. $TSLA https://t.co/lJgS5BXKUe"
1217297387376517120,2020-01-15 04:08:08+00:00,ByeonChansoo,37,8,2,https://twitter.com/ByeonChansoo/status/1217297387376517120,Big stuff for $TSLA. Every profit percentage trickles down and makes a HUGE difference in China and yet 35% on a luxury sedan!? Amazing @thirdrowtesla @ValueAnalyst1 https://t.co/0J7nNICvIb
1217293124629741568,2020-01-15 03:51:11+00:00,S_Padival,51,8,4,https://twitter.com/S_Padival/status/1217293124629741568,$TSLA electric planes can’t come soon enough @Gfilche @matty_mogul https://t.co/B7xnYRiRaK
1217292023176187905,2020-01-15 03:46:49+00:00,S_Padival,29,3,3,https://twitter.com/S_Padival/status/1217292023176187905,Sorry. But “reporters” write hit pieces not because they haven’t driven a Tesla yet. They write because they are PAID to write hit pieces on $TSLA! And no amount of test rides will change that. https://t.co/LxLc4MBBXh
1217287055169986560,2020-01-15 03:27:04+00:00,TrendTrader007,22,1,3,https://twitter.com/TrendTrader007/status/1217287055169986560,$tsla why on earth should I sell my calls at 540 when the stock is clearly headed to $1000 sometime in 2020
1217286559923228673,2020-01-15 03:25:06+00:00,1stPrincipleInv,18,2,2,https://twitter.com/1stPrincipleInv/status/1217286559923228673,"@EcoHeliGuy @BarkMSmeagol @ValueAnalyst1 VA is launching the world's first shoe-eating betting platform, which will disrupt both the shoes industry and the betting industry, and possibly the food industry too.

I will sell my $TSLA to participate in the series A funding round."
1217279046800814086,2020-01-15 02:55:15+00:00,Alpsoy66,36,1,1,https://twitter.com/Alpsoy66/status/1217279046800814086,"At some point in the future, $tsla and/or @elonmusk shall inevitably move in to electric plane business when battery density allows. It is simply a matter of time."
1217275021636227072,2020-01-15 02:39:15+00:00,facts_tesla,19,3,3,https://twitter.com/facts_tesla/status/1217275021636227072,"While fossil auto companies drag their heels (and knuckles) @elonmusk set a goal for @tesla to build 20,000,000 electric vehicles per year.

May need to go higher ....

#EVs $tsla #tesla https://t.co/MkkQeuzYww"
1217269530008965120,2020-01-15 02:17:26+00:00,craigbuj,35,9,1,https://twitter.com/craigbuj/status/1217269530008965120,Tencent's investment in Tesla: ~100% return in under 3 years 🇨🇳🇺🇸🚘🚗⚡️🚀🔮👀 $TSLA $TCEHY https://t.co/6jiiyPFR19 https://t.co/4z43SIgQ9D
1217269371489394688,2020-01-15 02:16:48+00:00,flcnhvy,300,53,6,https://twitter.com/flcnhvy/status/1217269371489394688,".@ARKInvest‘s @CathieDWood on what's behind Tesla's record run 📈

“We think the margins on electric vehicles will be much higher than most analysts anticipate, but [Tesla will be highly profitable] because of their autonomous taxi network.” $TSLA @elonmusk https://t.co/dvWkWFJFXM"
1217267984949022730,2020-01-15 02:11:18+00:00,TESLAcharts,20,3,3,https://twitter.com/TESLAcharts/status/1217267984949022730,@NgtSynthesis @ShortingIsFun @elonmusk He is not interested. Poor service is a feature he specifically designed into the $TSLA culture to save money. Elon micromanages everything. This is his overt strategy. He assumes the cult will put up with it.
