ticker,dateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
NKE,2020-01-17,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-18,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-19,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-20,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-21,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-22,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-23,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-24,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-25,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-26,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-27,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-28,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-29,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-30,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-01-31,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-01,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-02,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-03,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-04,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-05,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-06,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-07,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-08,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-09,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-10,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-11,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-12,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-13,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-14,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
