,Stock,Date,MAVG_20,MAVG_200,EMA,MACD,MACD_EMA,REL_VOL
11195,PLUG,2020-06-29,5.630499999999998,3.8322500000000033,5.89778684320142,0.7535678321998693,0.5127880799932845,0.5842468326280353
11196,PLUG,2020-06-30,5.833499999999998,3.8600500000000033,6.11799762003938,0.8422395464254455,0.5786783732797167,0.2208619537955442
11197,PLUG,2020-07-01,6.068499999999999,3.890600000000004,6.380093084797535,0.9547630883808056,0.6538953162999346,0.6315899988067545
11198,PLUG,2020-07-02,6.273499999999999,3.922500000000003,6.639131838626341,1.0503896458856516,0.7331941822170781,0.2423435426319143
11199,PLUG,2020-07-03,6.273499999999999,3.922500000000003,6.639131838626341,1.0503896458856516,0.7331941822170781,
11200,PLUG,2020-07-04,6.273499999999999,3.922500000000003,6.639131838626341,1.0503896458856516,0.7331941822170781,
11201,PLUG,2020-07-05,6.273499999999999,3.922500000000003,6.639131838626341,1.0503896458856516,0.7331941822170781,
11202,PLUG,2020-07-06,6.528499999999998,3.958300000000003,6.957309758757166,1.183539915772518,0.8232633289281661,0.554210959326902
11203,PLUG,2020-07-07,6.731499999999999,3.990950000000004,7.184232638875532,1.2233181623702336,0.9032742956165798,0.3094836246736585
11204,PLUG,2020-07-08,6.951499999999999,4.024450000000004,7.404781911363576,1.2533060403328866,0.9732806445598412,-0.3238808402675496
11205,PLUG,2020-07-09,7.115999999999998,4.055200000000005,7.55194553885276,1.2186434827214845,1.02235321219217,0.2838579712894928
11206,PLUG,2020-07-10,7.343499999999999,4.088100000000004,7.718426916104877,1.2055187611430744,1.0589863219823508,-0.1864320457687368
11207,PLUG,2020-07-11,7.343499999999999,4.088100000000004,7.718426916104877,1.2055187611430744,1.0589863219823508,
11208,PLUG,2020-07-12,7.343499999999999,4.088100000000004,7.718426916104877,1.2055187611430744,1.0589863219823508,
11209,PLUG,2020-07-13,7.5059999999999985,4.116150000000004,7.774767209809175,1.1025233951070792,1.0676937366072965,-0.0628041554666585
11210,PLUG,2020-07-14,7.677999999999999,4.146150000000003,7.858122713636874,1.036387157955148,1.0614324208768668,-0.6128253855069595
11211,PLUG,2020-07-15,7.857499999999999,4.1784000000000034,7.970682455195266,1.0038714489847722,1.049920226498448,-0.5633861978114392
11212,PLUG,2020-07-16,8.046,4.210550000000003,8.074426983271909,0.968551489546618,1.033646479108082,-0.5589287626273829
11213,PLUG,2020-07-17,8.226,4.242950000000003,8.161624413436488,0.9242574872569352,1.0117686807378523,-0.9661348207469548
11214,PLUG,2020-07-18,8.226,4.242950000000003,8.161624413436488,0.9242574872569352,1.0117686807378523,
11215,PLUG,2020-07-19,8.226,4.242950000000003,8.161624413436488,0.9242574872569352,1.0117686807378523,
11216,PLUG,2020-07-20,8.382000000000001,4.273900000000003,8.20337446929968,0.8479102491410071,0.9789969944184834,-0.8052412025451624
11217,PLUG,2020-07-21,8.557500000000001,4.307400000000004,8.286862615080663,0.8167218403705103,0.9465419636088888,-0.4205190839873789
11218,PLUG,2020-07-22,8.6835,4.339900000000004,8.350018556501553,0.7726087356030771,0.9117553180077266,-0.6784021624775005
11219,PLUG,2020-07-23,8.7315,4.369850000000003,8.367159646358548,0.6957382548240005,0.8685519053709814,-0.405152740485546
11220,PLUG,2020-07-24,8.790000000000003,4.399300000000004,8.381715870514876,0.6267857327911184,0.8201986708550087,-0.4372796787245938
11221,PLUG,2020-07-25,8.790000000000003,4.399300000000004,8.381715870514876,0.6267857327911184,0.8201986708550087,
11222,PLUG,2020-07-26,8.790000000000003,4.399300000000004,8.381715870514876,0.6267857327911184,0.8201986708550087,
11223,PLUG,2020-07-27,8.866000000000001,4.427750000000004,8.37869531141822,0.5520589906537765,0.7665707348147623,-0.6513800185455492
11224,PLUG,2020-07-28,8.8695,4.454600000000003,8.348343376997438,0.4640872241284643,0.7060740326775028,-0.9846377267706662
11225,PLUG,2020-07-29,8.868500000000001,4.482150000000003,8.333263055378634,0.4002451025017564,0.6449082466423536,-0.7975934550881315
11226,PLUG,2020-07-30,8.8235,4.508250000000004,8.298666573914002,0.3281152909423497,0.5815496555023528,-0.590009280545242
11227,PLUG,2020-07-31,8.754000000000001,4.532900000000004,8.242603090684096,0.2471233839833573,0.5146644011985537,-0.4294301899394043
